凉城薇梦	341	40	0	381	6	81
李百万	285	120	80	485	6	185
晓月梦澈	277	160	80	517	6	217
明婕	300	160	80	540	6	240
黑泽丶八重	257	120	0	377	6	77
一人一枪闯九州	222	120	0	342	6	42
太子彬	218	160	80	458	6	158
再见是否红着脸	218	80	40	338	6	38
剑惜玉	145	120	60	325	6	25
真的很帅啊	179	120	20	319	6	19
墨萧炎	260	120	60	440	6	140
❀❀長安゛	234	120	40	394	6	94
丶时辰丶	218	80	0	298	5	48
夜白衣	153	80	20	253	4	53
酒夭夭	173	40	40	253	4	53
丶开阳丶	120	80	20	220	4	20
丶摇光丶	185	40	20	245	4	45
黄怀雪华	95	120	40	255	4	55
丐帮汪剑通	98	40	40	178	3	28
酱油酱紫	60	80	0	140	2	40
长安	131	0	0	131	2	31
襄州牛头梗	104	0	0	104	1	54
惜玉挽轻裳	85	0	0	85	1	35
树儿高高长	70	0	20	90	1	40
守护锋	84	0	0	84	1	34
神威再见	99	0	0	99	1	49
a逼c迪e诶扶鸡	68	40	0	108	1	58
无霜过	35	40	0	75	1	25
韧诱瘾	30	40	20	90	1	40
深红落霞	30	0	0	30	0.01	14
sad自行车	20	0	0	20	0.01	4
墨語丶	39	0	0	39	0.01	23
希希希丶汐	39	0	0	39	0.01	23
花墨云	30	0	0	30	0.01	14
半月梨花带春风	20	0	0	20	0.01	4
如殇如暮歌ゎ	24	0	0	24	0.01	8
欲挽游丝萦好梦	24	0	0	24	0.01	8
茴香。	24	0	0	24	0.01	8
薏苡酱	46	0	0	46	0.01	30
薛无衡	30	0	0	30	0.01	14
鱼香	24	0	0	24	0.01	8
