永和街的风。	330	120	60	510	6	210
唐道人	329	180	80	589	6	289
俱利摩	234	120	60	414	6	114
シ流氓帅哥ジ	283	160	80	523	6	223
衰嗨揸兜男	240	120	0	360	6	60
淺笙	203	160	80	443	6	143
凌渃尘	221	160	80	461	6	161
杏花村政委白米	320	160	20	500	6	200
落笔如歌歌如月	376	120	60	556	6	256
西城诀＂	346	120	80	546	6	246
只想做个好人	306	160	0	466	6	166
太极至尊	290	120	0	410	6	110
倾舞情儿	226	120	60	406	6	106
糯米	160	120	40	320	6	20
扛旗	150	160	80	390	6	90
北城别＂	298	120	40	458	6	158
登徒浪子可奈何	219	120	80	419	6	119
诸天花雨	210	80	60	350	6	50
余子乔丶	257	160	60	477	6	177
丶玉衡丶	172	80	20	272	5	22
大大大大眼萌	184	80	40	304	5	54
小雪妖	173	80	0	253	4	53
澄不二	159	80	0	239	4	39
些许	105	80	80	265	4	65
太子龍	102	80	40	222	4	22
‭玄夜ゞ	144	40	0	184	3	34
月落雅雅	105	80	0	185	3	35
毒辣小可乐	154	40	0	194	3	44
朱颜辞镜	122	40	20	182	3	32
鱼慕秋	80	80	40	200	3	50
任离流	107	40	40	187	3	37
野原小广志	120	0	0	120	2	20
氿々若曦	99	40	0	139	2	39
此木青肆丶	91	40	0	131	2	31
荼薇与澈	94	40	0	134	2	34
辰夕灬	90	0	0	90	1	40
野原美伢伢	70	40	0	110	1	60
手握大牙签	60	40	0	100	1	50
裴述	61	40	0	101	1	51
剑独醉	80	0	0	80	1	30
日无际	70	40	0	110	1	60
守护	74	0	0	74	1	24
烟雨青黛	50	40	0	90	1	40
友善的大夫	83	0	0	83	1	33
南邦佳人呀	35	40	0	75	1	25
猜猜ぃ	30	40	0	70	1	20
想打架吗	60	0	0	60	0.01	44
FAKE弑神	30	0	0	30	0.01	14
童话话	63	0	0	63	0.01	47
凡人的梦	29	0	0	29	0.01	13
北城初夏	18	0	0	18	0.01	2
神威小枪将	42	0	0	42	0.01	26
花辞树	50	0	0	50	0.01	34
大大大大西瓜丶	56	0	0	56	0.01	40
池小晚	55	0	0	55	0.01	39
鹿山丶政政	40	0	0	40	0.01	24
南音潇潇洒洒ご	39	0	0	39	0.01	23
百花图	39	0	0	39	0.01	23
笑崖	39	0	0	39	0.01	23
검奕瑾검검검＊	20	0	0	20	0.01	4
泯渊	24	0	0	24	0.01	8
一朝花满城	39	0	0	39	0.01	23
丿几度度丶	23	0	0	23	0.01	7
凉人丨、梦	43	0	0	43	0.01	27
听一曲清金钩钓	17	0	0	17	0.01	1
毒药奶茶	16	0	0	16	0.01	0
麻瓜师弟晓透明	37	0	0	37	0.01	21
