花兮兮兮兮	275	120	0	395	6	95
南宫絮语	182	160	0	342	6	42
零拾	668	120	60	848	6	548
我就不讲道理哼	211	160	80	451	6	151
梦觞丶	400	160	60	620	6	320
ヅ醉晴空	292	160	60	512	6	212
小草包的狼哥哥	248	0	80	328	6	28
木清。	224	120	40	384	6	84
ヅ伴烟萝	187	160	60	407	6	107
〆神原秋人	251	120	20	391	6	91
牛奶奶奶奶	204	120	0	324	6	24
墨河	173	120	60	353	6	53
浪迹小秦	266	160	60	486	6	186
漓泉一九九八	358	160	80	598	6	298
一时春色	201	160	60	421	6	121
梦寻千古香ゝ	179	80	0	259	4	59
栖零刻	149	80	0	229	4	29
琴织儿	170	80	0	250	4	50
花炮炮炮炮	143	120	0	263	4	63
茨木与酒吞与狗	128	80	20	228	4	28
晚下	101	80	0	181	3	31
〆栗山未来	120	40	20	180	3	30
时钟轻摇孤独	106	80	20	206	3	56
神荼夜	67	120	0	187	3	37
潇萧雨未歇	130	80	0	210	3	60
雪の下八幡	112	80	20	212	3	62
鲜虾鱼板很Q弹	141	0	20	161	2	61
素蝶	93	40	0	133	2	33
机智的兰兰	70	40	0	110	1	60
飒爽的专家	60	40	0	100	1	50
不见青山	70	0	0	70	1	20
千古风流一坛醋	60	0	40	100	1	50
冥辕	50	40	0	90	1	40
小仙女上天吗	92	0	0	92	1	42
君莘妍	30	40	0	70	1	20
赵昊昌	30	40	0	70	1	20
偶盖伦贼6丶	30	0	0	30	0.01	14
一舞翩照影	60	0	0	60	0.01	44
ޓ已暮暮ޓ	30	0	0	30	0.01	14
刀锋之影丶尧	48	0	0	48	0.01	32
宇文瀚ゝ	30	0	0	30	0.01	14
沉默的天使	37	0	0	37	0.01	21
一只大狼狗	20	0	0	20	0.01	4
Mr丶J丨	20	0	0	20	0.01	4
折扇很帅	16	0	0	16	0.01	0
陨星泪	22	0	0	22	0.01	6
请叫我小五哥	50	0	0	50	0.01	34
一曲入惊鸿	20	0	0	20	0.01	4
糖小妖ゞ	20	0	0	20	0.01	4
叨叨	43	0	0	43	0.01	27
渡亡	26	0	0	26	0.01	10
