ヅ醉晴空	402.0	0.0	40.0	442.0	6	142.0	
小草包的狼哥哥	272.0	50.0	0.0	322.0	6	22.0	
我就不讲道理哼	292.0	50.0	40.0	382.0	6	82.0	
梦觞丶	260.0	0.0	60.0	320.0	6	20.0	
浪迹小秦	340.0	50.0	60.0	450.0	6	150.0	
漓泉一九九八	300.0	50.0	40.0	390.0	6	90.0	
雪の下八幡	212.0	50.0	60.0	322.0	6	22.0	
〆栗山未来	191.0	50.0	40.0	281.0	5	31.0	
南宫絮语	315.0	0.0	0.0	315.0	5	65.0	
当归ゞ	240.0	10.0	20.0	270.0	5	20.0	
零拾	206.0	50.0	40.0	296.0	5	46.0	
✲古井ღ＊	251.0	-40.0	20.0	231.0	4	31.0	
〆神原秋人	221.0	0.0	40.0	261.0	4	61.0	
宇文瀚ゝ	245.0	0.0	20.0	265.0	4	65.0	
慕容舒清	201.0	0.0	40.0	241.0	4	41.0	
素蝶	214.0	0.0	20.0	234.0	4	34.0	
花兮兮兮兮	221.0	0.0	0.0	221.0	4	21.0	
靑灯常伴	250.0	0.0	0.0	250.0	4	50.0	
鲜虾鱼板很Q弹	192.0	10.0	40.0	242.0	4	42.0	
一舞翩照影	124.0	50.0	0.0	174.0	3	24.0	
吾乃影子	150.0	0.0	40.0	190.0	3	40.0	
时钟轻摇孤独	168.0	0.0	0.0	168.0	3	18.0	
栖零刻	195.0	0.0	0.0	195.0	3	45.0	
种豆得瓜	191.0	0.0	0.0	191.0	3	41.0	
茨木与酒吞与狗	151.0	0.0	20.0	171.0	3	21.0	
✲淡雅ღ＊	190.0	-40.0	0.0	150.0	2	50.0	
一只大狼狗	125.0	0.0	0.0	125.0	2	25.0	
夜书白	90.0	0.0	40.0	130.0	2	30.0	
我亦有路自己走	132.0	0.0	20.0	152.0	2	52.0	
晚下	161.0	0.0	0.0	161.0	2	61.0	
牛奶奶奶奶	164.0	-40.0	0.0	124.0	2	24.0	
神威威威威威丶	150.0	0.0	0.0	150.0	2	50.0	
空阑珊	150.0	0.0	0.0	150.0	2	50.0	
蓝楼雨	85.0	50.0	0.0	135.0	2	35.0	
阴萤儿	120.0	0.0	20.0	140.0	2	40.0	
黎卿歌	180.0	-40.0	0.0	140.0	2	40.0	
ヅ伴烟萝	97.0	0.0	0.0	97.0	1	47.0	
ޓ已暮暮ޓ	95.0	0.0	0.0	95.0	1	45.0	
一剑钦心	104.0	0.0	0.0	104.0	1	54.0	
一时春色	112.0	0.0	0.0	112.0	1	62.0	
一曲入惊鸿	74.0	0.0	0.0	74.0	1	24.0	
今天不可能赚钱	100.0	0.0	0.0	100.0	1	50.0	
冥辕	94.0	0.0	0.0	94.0	1	44.0	
刀锋之影丶尧	74.0	0.0	20.0	94.0	1	44.0	
千古风流一坛醋	70.0	0.0	0.0	70.0	1	20.0	
暖寄归人ゞ	121.0	-40.0	20.0	101.0	1	51.0	
机智的兰兰	140.0	-40.0	0.0	100.0	1	50.0	
神荼夜	128.0	-40.0	0.0	88.0	1	38.0	
