冷清语	378	80	20	478	6	178
冷晓汐丶	308	80	40	428	6	128
蝶舞旧梦	299	120	20	439	6	139
水影悠兰	508	160	80	748	6	448
千绯	201	160	80	441	6	141
那年红颜	308	160	60	528	6	228
踏马清月夜	204	120	0	324	6	24
伊贰叁	173	120	60	353	6	53
何月凡	129	160	60	349	6	49
墨韵轩华	265	120	80	465	6	165
紫雨幽雲	553	160	80	793	6	493
奶小牛丶	193	80	60	333	6	33
会发光的派大星	185	80	40	305	5	55
小心有诈哦	162	120	0	282	5	32
青骢绝骑塑天荒	115	120	40	275	5	25
七忆鱼〃	240	0	0	240	4	40
叫我杀手先生	105	80	40	225	4	25
叮当猫づ	169	80	0	249	4	49
㏑ゞ初心ノ	152	40	60	252	4	52
我讨厌用名字	162	40	20	222	4	22
若小瞳丶	110	120	0	230	4	30
几度。	107	80	0	187	3	37
翊兮	130	80	0	210	3	60
汪汪汪汪汪汪。	120	80	0	200	3	50
丶吴宇森	145	40	0	185	3	35
艾莉亞史塔克	105	40	0	145	2	45
天下芒果	124	40	0	164	2	64
帅气无敌康爸爸	94	40	0	134	2	34
冷清初	80	40	0	120	2	20
喵喵喵喵喵喵。	90	40	0	130	2	30
尹霓裳	76	40	0	116	2	16
哭泣的小刀刀	110	0	0	110	1	60
搞事girl	100	0	0	100	1	50
随你几时丶	35	40	0	75	1	25
那年今若、	31	40	0	71	1	21
乘風剑	30	40	20	90	1	40
潇洒仗剑天下	40	40	0	80	1	30
訫醉陌影生若梦	60	40	0	100	1	50
冷如是丶	74	0	0	74	1	24
孟采绮	60	0	0	60	0.01	44
王竹音	60	0	0	60	0.01	44
逍遥凝月	27	0	0	27	0.01	11
四月耀阳	50	0	0	50	0.01	34
二刀流冥魂	40	0	0	40	0.01	24
墨小豌	40	0	0	40	0.01	24
等你放下	20	0	0	20	0.01	4
仐仐、	17	0	0	17	0.01	1
蝎子莱莱	48	0	0	48	0.01	32
神经病的小迷妹	30	0	0	30	0.01	14
小雨煕	20	0	0	20	0.01	4
昔昔	24	0	0	24	0.01	8
月牙天心丶姐	0	0	40	40	0.01	24
路尧。	23	0	0	23	0.01	7
青羽墨染云	17	0	0	17	0.01	1
顾寻清	15	0	20	35	0.01	19
